,id,firstname,lastname,age,nationality,height,weight,injured,teamID,teamname,appearences,lineups,minutes,position,rating,captain,subIn,subOut,bench,totalShots,shotsOn,totalGoals,goalsConceded,goalAssists,goalSaves,totalPasses,keyPasses,passAccuracy,totalTackles,blocks,interceptions,duelsTotal,duelsWon,dribbleAttempts,dribblesSuccess,dribblesPast,foulsDrawn,foulsCommitted,cardsYel,cardsYelRed,cardsRed,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,season
0,18206,Liam,Agnew,26,England,178 cm,72 kg,False,746,Sunderland,0,0,0,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2013/2014
1,18982,Glenn,Murray,38,England,183 cm,80 kg,False,52,Crystal Palace,14,3,394,Attacker,,False,11,2,11,,,1,,,,,,,,,,,,,,,,,1,0,0,,,,,,2013/2014
2,19203,Ashley,Cole,41,England,176 cm,66 kg,False,49,Chelsea,17,15,1386,Defender,,False,2,2,17,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,2013/2014
3,19289,Michael,Dawson,38,England,189 cm,79 kg,False,47,Tottenham,32,31,2838,Defender,,False,1,1,3,,,0,,,,,,,,,,,,,,,,,7,0,0,,,,,,2013/2014
4,19325,Nathan,Dyer,34,England,165 cm,60 kg,False,76,Swansea,27,19,1749,Midfielder,,False,8,10,10,,,6,,,,,,,,,,,,,,,,,1,0,0,,,,,,2013/2014
5,19388,George,Boyd,36,Scotland,186 cm,79 kg,False,64,Hull City,29,9,1198,Midfielder,,False,20,5,26,,,2,,,,,,,,,,,,,,,,,2,0,0,,,,,,2013/2014
6,19476,Craig Ian,Conway,36,Scotland,171 cm,67 kg,False,43,Cardiff,0,0,0,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2013/2014
7,19488,Danny,Graham,36,England,185 cm,88 kg,False,64,Hull City,18,12,1002,Attacker,,False,6,8,7,,,1,,,,,,,,,,,,,,,,,1,0,0,,,,,,2013/2014
8,19553,Darron,Gibson,34,Republic of Ireland,183 cm,90 kg,False,45,Everton,1,0,27,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2013/2014
9,19660,Billy,Jones,34,England,181 cm,77 kg,False,60,West Brom,21,21,1741,Defender,,False,0,3,3,,,0,,,,,,,,,,,,,,,,,5,0,0,,,,,,2013/2014
