,id,firstname,lastname,age,nationality,height,weight,injured,teamID,teamname,appearences,lineups,minutes,position,rating,captain,subIn,subOut,bench,totalShots,shotsOn,totalGoals,goalsConceded,goalAssists,goalSaves,totalPasses,keyPasses,passAccuracy,totalTackles,blocks,interceptions,duelsTotal,duelsWon,dribbleAttempts,dribblesSuccess,dribblesPast,foulsDrawn,foulsCommitted,cardsYel,cardsYelRed,cardsRed,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,season,PlayerOfTheYear
0,18241,Mark,Yeates,36.0,Republic of Ireland,175 cm,66 kg,False,47,Tottenham,0.0,0.0,0.0,Midfielder,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,Thierry Henry
1,19153,Gareth,Barry,39.0,England,183 cm,78 kg,False,66,Aston Villa,1.0,1.0,90.0,Midfielder,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,Thierry Henry
2,19203,Ashley,Cole,41.0,England,176 cm,66 kg,False,42,Arsenal,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,Thierry Henry
3,19417,Liam,Ridgewell,37.0,England,188 cm,77 kg,False,66,Aston Villa,0.0,0.0,0.0,Defender,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,Thierry Henry
4,50978,Justin,Hoyte,36.0,Trinidad and Tobago,180 cm,68 kg,False,42,Arsenal,1.0,0.0,1.0,Defender,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,Thierry Henry
5,77110,Thomas,Løvendahl Sørensen,45.0,Denmark,196 cm,89 kg,False,746,Sunderland,1.0,1.0,90.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,Thierry Henry
6,83026,Peter,Whittingham,34.0,England,178 cm,63 kg,False,66,Aston Villa,2.0,1.0,123.0,Midfielder,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,Thierry Henry
7,87907,Paul,Rachubka,40.0,England,185 cm,84 kg,False,1335,Charlton,0.0,0.0,0.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,Thierry Henry
8,90505,Stuart,Taylor,41.0,England,198 cm,85 kg,False,42,Arsenal,1.0,1.0,90.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,Thierry Henry
9,114571,Gilberto,Aparecido da Silva,45.0,Brazil,184 cm,74 kg,False,42,Arsenal,2.0,2.0,180.0,Midfielder,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,Thierry Henry
