,id,firstname,lastname,age,nationality,height,weight,injured,teamID,teamname,appearences,lineups,minutes,position,rating,captain,subIn,subOut,bench,totalShots,shotsOn,totalGoals,goalsConceded,goalAssists,goalSaves,totalPasses,keyPasses,passAccuracy,totalTackles,blocks,interceptions,duelsTotal,duelsWon,dribbleAttempts,dribblesSuccess,dribblesPast,foulsDrawn,foulsCommitted,cardsYel,cardsYelRed,cardsRed,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,season
0,160,Michel,Vorm,38,Netherlands,183 cm,84 kg,False,47,Tottenham,2,2,180,Goalkeeper,7.050000,False,0,0,4,0,0,0,4,,9,34,0,76,,0,0,1,1,0,0,,0,0,0,0,0,,,0,0,0,2018/2019
1,1444,Stephan,Lichtsteiner,37,Switzerland,182 cm,76 kg,False,42,Arsenal,14,10,940,Defender,6.428571,False,4,6,17,1,0,0,,,,377,3,78,15,4,9,104,50,7,4,,10,11,3,0,0,,,0,0,,2018/2019
2,18757,Leighton,Baines,37,England,170 cm,74 kg,False,45,Everton,6,5,376,Defender,6.550000,False,1,2,26,2,1,0,,,,157,5,81,8,0,2,20,11,1,0,,1,2,0,0,0,,2,0,0,,2018/2019
3,18774,Wes,Morgan,37,Jamaica,186 cm,101 kg,False,46,Leicester,22,21,1926,Defender,6.913636,False,1,0,10,14,5,3,,,,721,3,78,27,10,32,189,126,2,2,,6,18,3,2,0,,,0,0,,2018/2019
4,18789,Heurelho,da Silva Gomes,40,Brazil,191 cm,91 kg,False,38,Watford,0,0,0,Goalkeeper,,False,0,0,38,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2018/2019
5,18818,Pablo Javier,Zabaleta Girod,35,Argentina,176 cm,74 kg,False,48,West Ham,26,23,2092,Defender,6.676923,False,3,3,10,7,1,0,,1,,660,7,74,47,15,48,252,137,22,14,,30,17,4,0,0,,,0,0,,2018/2019
6,18837,Julián,Speroni,42,Argentina,186 cm,87 kg,False,52,Crystal Palace,1,1,90,Goalkeeper,5.700000,False,0,0,4,0,0,0,4,,5,12,0,37,,0,0,1,1,0,0,,0,0,0,0,0,,,0,0,0,2018/2019
7,18865,Simon,Francis,35,England,183 cm,90 kg,False,35,Bournemouth,17,13,1226,Defender,6.752941,False,4,1,5,3,1,0,,2,,479,10,72,25,7,19,159,85,9,5,,8,11,1,0,0,,,0,0,,2018/2019
8,18879,Andrew,Surman,35,England,178 cm,73 kg,False,35,Bournemouth,18,16,1438,Midfielder,6.700000,False,2,1,14,9,1,0,,,,729,10,84,11,7,10,76,39,6,3,,6,7,2,0,0,,,0,0,,2018/2019
9,18928,Peter,Crouch,40,England,201 cm,75 kg,False,44,Burnley,6,0,86,Attacker,6.650000,False,6,0,9,5,1,0,,,,11,0,35,1,0,0,31,19,0,0,,0,3,1,0,0,,,0,0,,2018/2019
10,18966,Bruno,Saltor Grau,41,Spain,181 cm,76 kg,False,51,Brighton,14,14,1136,Defender,6.735714,False,0,5,9,2,0,0,,1,,420,7,81,25,2,11,74,46,6,4,,9,4,2,0,0,,,0,0,,2018/2019
11,18982,Glenn,Murray,38,England,183 cm,80 kg,False,51,Brighton,38,30,2513,Attacker,6.778947,False,8,14,8,54,21,13,,1,,353,12,58,17,3,2,563,249,20,8,,54,80,5,0,0,1,1,4,0,,2018/2019
12,18988,Matthew,Connolly,32,England,188 cm,84 kg,False,43,Cardiff,0,0,0,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2018/2019
13,19054,Daniel,Williams,31,USA,182 cm,79 kg,False,37,Huddersfield,5,1,93,Midfielder,6.333333,False,4,1,9,1,0,0,,,,19,1,72,,1,1,10,2,1,1,,1,2,1,0,0,,,0,0,,2018/2019
14,19747,Collin,Quaner,30,Germany,191 cm,81 kg,False,37,Huddersfield,2,0,37,Attacker,6.450000,False,2,0,4,0,0,0,,,,13,1,76,,0,0,7,1,1,1,,0,2,0,0,0,,,0,0,,2018/2019
15,50237,Henri,Saivet,31,Senegal,174 cm,76 kg,False,34,Newcastle,0,0,0,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2018/2019
16,81993,Jonathan,Walters,38,Republic of Ireland,183 cm,79 kg,False,44,Burnley,0,0,0,Attacker,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2018/2019
17,82983,Frédéric,Gounongbe,30,Benin,190 cm,85 kg,False,43,Cardiff,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/2019
18,83132,Jesús,Gámez Duarte,33,Spain,177 cm,75 kg,False,34,Newcastle,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/2019
19,87077,Patrice,Evra,37,France,174 cm,75 kg,False,48,West Ham,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/2019
20,162,Toby Albertine Maurits,Alderweireld,33,Belgium,186 cm,81 kg,False,47,Tottenham,34,33,2924,Defender,7.123529,False,1,3,4,19,5,0,,,,2087,7,87,37,22,24,161,93,2,1,,1,10,3,0,0,,,0,0,,2018/2019
21,642,Sergio Leonel,Agüero del Castillo,33,Argentina,173 cm,70 kg,False,50,Manchester City,33,31,2480,Attacker,7.393939,False,2,23,3,118,43,21,,8,,654,35,83,17,1,9,230,104,73,45,,25,21,3,0,0,,,2,0,,2018/2019
22,893,Luis Antonio,Valencia Mosquera,36,Ecuador,180 cm,83 kg,False,33,Manchester United,6,5,466,Midfielder,6.983333,False,1,1,4,2,0,0,,,,228,7,85,8,0,5,32,18,6,3,,4,7,2,0,0,,,0,0,,2018/2019
23,1443,Laurent,Koscielny,37,France,186 cm,75 kg,False,42,Arsenal,17,13,1328,Defender,7.058823,False,4,1,6,5,4,3,,,,819,2,89,19,15,30,105,59,1,1,,14,9,1,0,0,,,0,0,,2018/2019
24,2795,Gylfi Þór,Sigurðsson,33,Iceland,186 cm,79 kg,False,45,Everton,38,36,3134,Midfielder,7.242105,False,2,19,2,86,34,13,,6,,754,75,75,55,4,28,315,151,67,38,,39,33,3,0,0,,,2,3,,2018/2019
25,2921,Mousa Sidi Yaya,Dembélé,35,Belgium,185 cm,82 kg,False,47,Tottenham,10,7,516,Midfielder,6.600000,False,3,5,3,1,0,0,,,,276,0,90,13,1,7,58,29,8,7,,3,12,1,0,0,,,0,0,,2018/2019
26,12709,Guangtai,Jiang,28,China PR,180 cm,76 kg,False,45,Everton,0,0,0,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2018/2019
27,18775,Danny,Simpson,35,England,176 cm,80 kg,False,46,Leicester,6,3,291,Defender,6.766666,False,3,2,10,0,0,0,,,,78,1,71,11,3,6,31,19,0,0,,0,2,0,0,0,,,0,0,,2018/2019
28,18792,Miguel Ángel,Britos Cabrera,36,Uruguay,188 cm,82 kg,False,38,Watford,3,2,185,Defender,6.266666,False,1,1,10,0,0,0,,,,47,0,70,4,1,3,20,11,3,1,,1,3,0,0,0,,,0,0,,2018/2019
