,id,firstname,lastname,age,nationality,height,weight,injured,teamID,teamname,appearences,lineups,minutes,position,rating,captain,subIn,subOut,bench,totalShots,shotsOn,totalGoals,goalsConceded,goalAssists,goalSaves,totalPasses,keyPasses,passAccuracy,totalTackles,blocks,interceptions,duelsTotal,duelsWon,dribbleAttempts,dribblesSuccess,dribblesPast,foulsDrawn,foulsCommitted,cardsYel,cardsYelRed,cardsRed,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,season
0,18032,Jon,Stead,38,England,191 cm,76 kg,False,67,Blackburn,13,13,1086,Attacker,,False,0,6,0,,,5,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
1,18099,Darren,Carter,38,England,188 cm,78 kg,False,54,Birmingham,5,1,75,Midfielder,,False,4,1,7,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
2,18241,Mark,Yeates,36,Republic of Ireland,175 cm,66 kg,False,47,Tottenham,1,1,90,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
3,19203,Ashley,Cole,41,England,176 cm,66 kg,False,42,Arsenal,32,32,2825,Defender,,False,0,2,0,,,0,,,,,,,,,,,,,,,,,5,0,1,,,,,,2003/2004
4,19448,Paul,Gallagher,37,Scotland,183 cm,79 kg,False,67,Blackburn,26,12,1111,Midfielder,,False,14,9,15,,,3,,,,,,,,,,,,,,,,,2,0,0,,,,,,2003/2004
5,90505,Stuart,Taylor,41,England,198 cm,85 kg,False,42,Arsenal,0,0,0,Goalkeeper,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
6,114571,Gilberto,Aparecido da Silva,45,Brazil,184 cm,74 kg,False,42,Arsenal,32,29,2546,Midfielder,,False,3,4,3,,,4,,,,,,,,,,,,,,,,,2,0,0,,,,,,2003/2004
7,114808,William,Gallas,37,France,183 cm,72 kg,False,49,Chelsea,29,23,2091,Defender,,False,6,1,11,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,2003/2004
8,114876,Thierry,Henry,37,France,188 cm,83 kg,False,42,Arsenal,37,37,3330,Attacker,,False,0,0,0,,,30,,,,,,,,,,,,,,,,,3,0,0,,,,,,2003/2004
9,114896,Danny,Higginbotham,43,Gibraltar,185 cm,77 kg,False,41,Southampton,27,24,2286,Defender,,False,3,0,12,,,0,,,,,,,,,,,,,,,,,3,0,0,,,,,,2003/2004
10,115062,Mikaël,Silvestre,38,France,180 cm,83 kg,False,33,Manchester United,34,33,2849,Defender,,False,1,3,1,,,0,,,,,,,,,,,,,,,,,2,0,0,,,,,,2003/2004
11,115711,Eduardo Cesar,Daude Gaspar,35,Brazil,189 cm,85 kg,False,42,Arsenal,29,13,1450,Midfielder,,False,16,1,21,,,2,,,,,,,,,,,,,,,,,4,0,0,,,,,,2003/2004
12,115944,Patrick,Vieira,37,France,193 cm,83 kg,False,42,Arsenal,29,29,2535,Midfielder,,False,0,1,0,,,3,,,,,,,,,,,,,,,,,10,1,0,,,,,,2003/2004
13,115955,Robert,Pirès,42,France,185 cm,75 kg,False,42,Arsenal,36,33,2865,Midfielder,,False,3,17,4,,,14,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
14,115958,Stephen,Crainey,40,Scotland,175 cm,60 kg,False,41,Southampton,5,5,440,Defender,,False,0,1,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
15,115980,Jens,Lehmann,44,Germany,190 cm,87 kg,False,42,Arsenal,38,38,3420,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,2,0,0,,,,,,2003/2004
16,117093,Jerzy,Dudek,40,Poland,188 cm,83 kg,False,40,Liverpool,30,30,2687,Goalkeeper,,False,0,1,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
17,117253,Sammy,Clingan,37,Northern Ireland,180 cm,73 kg,False,39,Wolves,0,0,0,Midfielder,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
18,231020,Neil,Sullivan,43,Scotland,191 cm,82 kg,False,49,Chelsea,4,4,360,Goalkeeper,,False,0,0,15,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
19,233157,Mark,Lynch,32,England,180 cm,71 kg,False,33,Manchester United,0,0,0,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
20,19153,Gareth,Barry,39,England,183 cm,78 kg,False,66,Aston Villa,36,36,3018,Midfielder,,False,0,10,0,,,3,,,,,,,,,,,,,,,,,3,0,1,,,,,,2003/2004
21,50978,Justin,Hoyte,36,Trinidad and Tobago,180 cm,68 kg,False,42,Arsenal,1,0,0,Defender,,False,1,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
22,77110,Thomas,Løvendahl Sørensen,45,Denmark,196 cm,89 kg,False,66,Aston Villa,38,38,3337,Goalkeeper,,False,0,2,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,2003/2004
23,82009,John,Terry,41,England,187 cm,90 kg,False,49,Chelsea,33,33,2965,Defender,,False,0,1,1,,,2,,,,,,,,,,,,,,,,,5,0,0,,,,,,2003/2004
24,82684,Stefan,Moore,35,England,178 cm,,False,66,Aston Villa,8,2,255,Attacker,,False,6,2,8,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
25,83026,Peter,Whittingham,34,England,178 cm,63 kg,False,66,Aston Villa,32,20,1951,Midfielder,,False,12,6,16,,,0,,,,,,,,,,,,,,,,,4,0,0,,,,,,2003/2004
26,87877,Jermaine,Pennant,35,England,173 cm,68 kg,False,63,Leeds,36,34,2969,Midfielder,,False,2,10,2,,,2,,,,,,,,,,,,,,,,,5,0,0,,,,,,2003/2004
27,90516,Shay,Given,41,Republic of Ireland,185 cm,84 kg,False,34,Newcastle,38,38,3420,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,2003/2004
28,105424,Robbie,Keane,38,Republic of Ireland,175 cm,72 kg,False,47,Tottenham,33,30,2788,Attacker,,False,3,1,3,,,14,,,,,,,,,,,,,,,,,1,0,0,,,,,,2003/2004
29,114757,Richard,Dunne,36,Republic of Ireland,188 cm,95 kg,False,50,Manchester City,29,28,2500,Defender,,False,1,1,7,,,0,,,,,,,,,,,,,,,,,5,0,0,,,,,,2003/2004
30,114812,Thomas,Hitzlsperger,31,Germany,185 cm,80 kg,False,66,Aston Villa,32,22,2223,Midfielder,,False,10,1,14,,,3,,,,,,,,,,,,,,,,,4,0,0,,,,,,2003/2004
31,114814,Luke,Moore,30,England,180 cm,76 kg,False,66,Aston Villa,7,0,140,Attacker,,False,7,0,7,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,2003/2004
32,114817,Jermaine,Jenas,38,England,179 cm,76 kg,False,34,Newcastle,31,26,2382,Midfielder,,False,5,3,5,,,2,,,,,,,,,,,,,,,,,3,0,0,,,,,,2003/2004
33,117327,Eric Daniel,Djemba-Djemba,37,Cameroon,174 cm,75 kg,False,33,Manchester United,15,10,884,Midfielder,,False,5,7,11,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,2003/2004
34,117973,Nwankwo Christian,Kanu,37,Nigeria,197 cm,80 kg,False,42,Arsenal,10,3,426,Attacker,,False,7,3,17,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
35,118128,Marcus,Allbäck,48,Sweden,180 cm,79 kg,False,66,Aston Villa,15,7,751,Attacker,,False,8,4,12,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
36,153314,Mustapha,Hadji,42,Morocco,184 cm,74 kg,False,66,Aston Villa,1,0,24,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
37,231000,Darius,Vassell,33,England,171 cm,74 kg,False,66,Aston Villa,32,26,2284,Attacker,,False,6,14,6,,,9,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
38,240320,Juan Pablo,Ángel Arango,39,Colombia,186 cm,80 kg,False,66,Aston Villa,33,33,2771,Attacker,,False,0,13,0,,,16,,,,,,,,,,,,,,,,,3,0,0,,,,,,2003/2004
39,252757,Ulises Hernán,de la Cruz Bernardo,47,Ecuador,178 cm,80 kg,False,66,Aston Villa,28,20,1839,Defender,,False,8,1,13,,,0,,,,,,,,,,,,,,,,,2,0,0,,,,,,2003/2004
40,17631,Jamal Julian,Campbell-Ryce,38,Jamaica,170 cm,77 kg,False,1335,Charlton,2,0,33,Midfielder,,False,2,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2003/2004
