,id,firstname,lastname,age,nationality,height,weight,injured,teamID,teamname,appearences,lineups,minutes,position,rating,captain,subIn,subOut,bench,totalShots,shotsOn,totalGoals,goalsConceded,goalAssists,goalSaves,totalPasses,keyPasses,passAccuracy,totalTackles,blocks,interceptions,duelsTotal,duelsWon,dribbleAttempts,dribblesSuccess,dribblesPast,foulsDrawn,foulsCommitted,cardsYel,cardsYelRed,cardsRed,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,season
0,6819,Alex,Cisak,30,Australia,190 cm,93 kg,False,44,Burnley,0,0,0,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2014/2015
1,18206,Liam,Agnew,26,England,178 cm,72 kg,False,746,Sunderland,0,0,0,Midfielder,,False,0,0,4,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2014/2015
2,18774,Wes,Morgan,37,Jamaica,186 cm,101 kg,False,46,Leicester,37,37,3288,Defender,,False,0,2,0,,,2,,,,,,,,,,,,,,,,,1,0,1,,,,,,2014/2015
3,18982,Glenn,Murray,38,England,183 cm,80 kg,False,52,Crystal Palace,15,9,852,Attacker,7.700000,False,6,5,8,3,1,7,,1,,10,1,58,,,0,18,11,0,0,,0,1,3,1,0,,,1,0,,2014/2015
4,19226,David,Nugent,36,England,180 cm,76 kg,False,46,Leicester,29,16,1703,Attacker,,False,13,5,14,,,5,,,,,,,,,,,,,,,,,3,0,0,,,,,,2014/2015
5,19289,Michael,Dawson,38,England,189 cm,79 kg,False,64,Hull City,28,28,2434,Defender,,False,0,2,1,,,1,,,,,,,,,,,,,,,,,7,0,0,,,,,,2014/2015
6,19325,Nathan,Dyer,34,England,165 cm,60 kg,False,76,Swansea,32,23,1868,Midfielder,5.500000,False,9,15,10,0,0,3,,,,6,1,87,,,0,8,1,4,1,,0,0,2,0,0,,,0,0,,2014/2015
7,19388,George,Boyd,36,Scotland,186 cm,79 kg,False,44,Burnley,35,35,3014,Midfielder,,False,0,9,0,,,5,,,,,,,,,,,,,,,,,7,0,0,,,,,,2014/2015
8,19488,Danny,Graham,36,England,185 cm,88 kg,False,746,Sunderland,14,7,626,Attacker,,False,7,6,11,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,2014/2015
9,19553,Darron,Gibson,34,Republic of Ireland,183 cm,90 kg,False,45,Everton,9,3,410,Midfielder,,False,6,0,13,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2014/2015
10,19660,Billy,Jones,34,England,181 cm,77 kg,False,746,Sunderland,14,14,1256,Defender,,False,0,2,8,,,0,,,,,,,,,,,,,,,,,7,0,0,,,,,,2014/2015
11,20439,Matt,Jarvis,35,England,170 cm,72 kg,False,48,West Ham,11,4,413,Midfielder,5.900000,False,7,4,22,0,0,0,,,,5,1,71,,,0,5,1,2,0,,1,0,0,0,0,,,0,0,,2014/2015
12,30749,Emanuele,Giaccherini,36,Italy,167 cm,60 kg,False,746,Sunderland,8,2,304,Midfielder,,False,6,2,11,,,0,,,,,,,,,,,,,,,,,2,0,0,,,,,,2014/2015
13,35672,José Leonardo,Ulloa,35,Argentina,188 cm,89 kg,False,46,Leicester,37,29,2408,Attacker,,False,8,18,9,,,11,,,,,,,,,,,,,,,,,3,0,0,,,,,,2014/2015
14,36891,Ron Peter,Vlaar,36,Netherlands,189 cm,80 kg,False,66,Aston Villa,20,19,1647,Defender,,False,1,1,4,,,0,,,,,,,,,,,,,,,,,4,1,0,,,,,,2014/2015
15,47261,Mathieu,Flamini,35,France,178 cm,67 kg,False,42,Arsenal,23,15,1455,Midfielder,6.700000,False,8,3,17,0,0,1,,,,11,0,100,,,1,1,0,0,0,,0,0,3,0,0,,,0,0,,2014/2015
16,50102,Arouna,Koné,38,Côte d'Ivoire,181 cm,78 kg,False,45,Everton,12,7,601,Attacker,,False,5,5,16,,,1,,,,,,,,,,,,,,,,,2,0,0,,,,,,2014/2015
17,81774,Joe,Ledley,33,Wales,183 cm,73 kg,False,52,Crystal Palace,32,30,2575,Midfielder,6.500000,False,2,6,4,0,0,2,,,,21,0,72,,,1,12,2,0,0,,1,0,0,0,0,,,0,0,,2014/2015
18,82216,Michael,Cain,27,England,182 cm,,False,46,Leicester,0,0,0,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2014/2015
19,114745,Mikel,Arteta Amatriain,34,Spain,175 cm,64 kg,False,42,Arsenal,7,6,449,Midfielder,,False,1,3,2,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,2014/2015
20,18928,Peter,Crouch,40,England,201 cm,75 kg,False,75,Stoke City,33,17,1674,Attacker,6.900000,False,16,5,20,3,1,8,,,,12,0,48,,,0,18,12,1,0,,0,1,4,0,0,,,0,0,,2014/2015
21,19153,Gareth,Barry,39,England,183 cm,78 kg,False,45,Everton,33,33,2827,Midfielder,,False,0,4,0,,,0,,,,,,,,,,,,,,,,,11,1,0,,,,,,2014/2015
22,19189,Mile,Jedinak,37,Australia,189 cm,87 kg,False,52,Crystal Palace,24,24,2081,Midfielder,,False,0,3,3,,,5,,,,,,,,,,,,,,,,,4,1,0,,,,,,2014/2015
